"","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","iteration"
"958",0.184105816143284,-0.607663472517844,28,"10Days",4,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"959",0.378138394145773,-0.60203126344892,29,"10Days",4,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"960",0.37813839415387,-0.602031263451836,30,"10Days",4,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"961",8.00263283146422,-2.35468222308261,1,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"962",1.92757333292481,-1.37149867740708,2,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"963",0.63734513709883,-0.589730892330319,3,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"964",1.89600396252741,-0.851863245863841,4,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"965",1.08777466733559,-0.438172301002998,5,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"966",1.29747246524713,-0.481210210235944,6,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"967",1.08085937460044,-0.215086885565365,7,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"968",1.38812358483616,-0.440930587671467,8,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"969",1.5363144650351,-0.334099792205506,9,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"970",1.48207169200621,-0.250543890283466,10,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"971",1.27314521936675,-0.0886060419823802,11,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"972",1.25145753191934,-0.13107354673872,12,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"973",1.49096797687727,-0.0888171831586565,13,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"974",1.32950307199569,-0.0782660087470797,14,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"975",1.38613252858384,0.000329941034784304,15,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"976",1.06255204597437,0.153246405633679,16,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"977",1.55740430697918,-0.0790919975435692,17,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"978",1.21790720942433,0.108194269590665,18,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"979",1.33825387723981,0.121158244414077,19,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"980",1.33825387721744,0.12115824442514,20,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"981",1.58574580110062,0.0244751225838495,21,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"982",1.31184926797812,0.235404306478921,22,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"983",1.27061496081683,0.203663309509444,23,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"984",1.46246456073791,0.217854769915658,24,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"985",1.35543402675291,0.26611441770553,25,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"986",1.41893332527447,0.186988987690204,26,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"987",1.35543402677427,0.266114417707093,27,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"988",1.27426677627904,0.288520027141878,28,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
