"simulation","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","logitInstOcc","logitDailyOcc","logitSeasonOcc","Initial_InstantBias","Initial_DailyBias","Initial_SeasonBias","ExponentialDecay_success","ExponentialDecay_predicted_asymptote","ExponentialDecay_sse","ExponentialDecay_predicted_yIntercept","MichaelisMenten_success","MichaelisMenten_predicted_asymptote","MichaelisMenten_sse","MichaelisMenten_predicted_yIntercept","AsymptoticRegression_success","AsymptoticRegression_predicted_asymptote","AsymptoticRegression_sse","AsymptoticRegression_predicted_yIntercept","LogisticGrowth_success","LogisticGrowth_predicted_asymptote","LogisticGrowth_sse","LogisticGrowth_predicted_yIntercept","Gompertz_success","Gompertz_predicted_asymptote","Gompertz_sse","Gompertz_predicted_yIntercept","ExpDec_DailyBias","MichaelisMenten_DailyBias","AsymptoticRegression_DailyBias","LogisticGrowth_DailyBias","Gompertz_DailyBias","ExpDec_SeasonBias","MichaelisMenten_SeasonBias","AsymptoticRegression_SeasonBias","LogisticGrowth_SeasonBias","Gompertz_SeasonBias","ExpDec_InstBias","MichaelisMenten_InstBias","AsymptoticRegression_InstBias","LogisticGrowth_InstBias","Gompertz_InstBias"
1,2.03170657426302,0.333137490283445,10,"24Hours",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.438355972720254,-0.0878186831886208,-0.115913921283859,TRUE,-541.202946441416,70.1682856993194,4.86499984209763,TRUE,-649962.281419317,70.1665439462432,4.86473798644452,TRUE,3.43451425304374,65.2607233479385,42170.4006393596,TRUE,4.23655949475317,67.0550538687621,4.23652420955723,TRUE,4.22890479161909,67.3798889810796,4.2285704562363,-0.971904761904762,-0.971904761904762,-0.00313881027444751,0.0138440247922237,0.0137360898294276,-1,-1,-0.0312340483696855,-0.0142512133030143,-0.0143591482658103,0.546617081777327,0.546615092924501,0.554269894004113,0.540018185002069,0.539906013133584
2,1.77941948735673,0.613104106203835,10,"24Hours",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.370749358767717,-0.106041497109518,-0.144374830442851,TRUE,1.72926467674583,0.877063010036817,-1.08003570215392,TRUE,2.29104688227374,0.941678226408483,-1.56385120438491,TRUE,1.72926891108712,0.877063009846047,-1.08002230173341,TRUE,1.63811736422847,0.699888635389095,0.0145308867028867,TRUE,1.64776868687379,0.777028518874909,5.36476694552609e-05,-0.112348326484138,-0.0535338404011606,-0.112347784587926,-0.124388062622056,-0.12307741266957,-0.150681659817471,-0.0918671737344936,-0.150681117921259,-0.162721395955389,-0.161410746002903,-0.231376550368813,-0.311781092149194,-0.231374014499895,0.0187568469678827,0.0151376011279286
1,1.44699020914884,0.988612012118499,15,"24Hours",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.363804686012442,-0.162369969896433,-0.190465207991671,TRUE,-299.017990040235,70.4185347819646,4.92612340908897,TRUE,-732480.781110258,70.4139748806424,4.92314317567774,TRUE,-313.33797354841,70.4183362667147,4.92598544540515,TRUE,4.71898000125835,70.0313757046527,4.47255873719772,TRUE,5.26563414736266,70.1392921767319,4.57373425423654,-0.971904761904762,-0.971904761904762,-0.971904761904762,0.0192498996837784,0.022955673769711,-1,-1,-1,-0.00884533841145951,-0.00513956432552698,0.547067571918815,0.547046230585669,0.547066585349506,0.542980731746439,0.544055942776259
2,1.69185565275188,1.07755879247236,15,"24Hours",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.359592229623794,-0.117198626253441,-0.155531959586774,TRUE,1.89795424951207,1.62446867361047,-0.82898818428569,TRUE,2.39093424215792,1.61705728182933,-1.35040704978756,TRUE,1.89795670248524,1.62446867365075,-0.828979464531063,TRUE,1.76093391845054,1.59187868559961,0.0189089897169667,TRUE,1.78793372732417,1.63622924003457,0.0010814102506797,-0.0920068548586536,-0.0455332900127747,-0.0920065768104136,-0.108340078358832,-0.104992908090412,-0.130340188191987,-0.0838666233461077,-0.130339910143747,-0.146673411692165,-0.143326241423745,-0.181016755005738,-0.27907197867979,-0.181014910523962,0.0198512957926117,0.015394541746891
1,2.29463782542671,0.79077034486504,20,"24Hours",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.46270186528176,-0.0634727906271153,-0.0915680287223533,TRUE,0.81086494207476,72.2885887089974,5.12366973597334,TRUE,-1.44583873029263,72.375365341257,5.1403802946704,TRUE,0.810899740178565,72.2885887138037,5.12367993982537,TRUE,337.598282282649,72.3645949766218,4.96977264250035,TRUE,962.300275003577,72.418953702828,4.89472241819197,-0.279610974322474,-0.781261946162657,-0.279603561572156,0.028095238095238,0.028095238095238,-0.307706212417712,-0.809357184257895,-0.307698799667394,0,0,0.548351003206049,0.548448518362133,0.548351063243758,0.547373063814516,0.546839530697257
2,1.71114082705025,1.33122693707371,20,"24Hours",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.362108385410626,-0.114682470466609,-0.153015803799942,TRUE,1.91006127141277,1.92138569846873,-0.825935076985897,TRUE,2.26837507402358,1.97072203466003,-1.67158343562612,TRUE,1.91006229092909,1.92138569848306,-0.825929330373043,TRUE,1.81395879295219,1.95610708030341,0.0229868202853471,TRUE,1.84289139414392,1.9692689697838,0.00386574768171491,-0.0906406354452645,-0.0554428776216338,-0.0906405209131672,-0.101827016798185,-0.0983763578817234,-0.128973968778597,-0.0937762109549668,-0.1289738542465,-0.140160350131518,-0.136709691215056,-0.180370548624211,-0.326662630851241,-0.180369331594787,0.0208706412516128,0.016090624927462
1,1.79009353970923,1.5347152151066,30,"24Hours",2,100,"systematic",0.445730105995887,0.971904761904762,1,0.2,-0.217938116069674,3.54365771890413,Inf,0.411208638382568,-0.114966017526307,-0.143061255621545,TRUE,1.86533573037913,73.7730126883988,5.39446688860442,TRUE,1.22238066229512,74.1973990597985,5.89917223471003,TRUE,1.86543909312498,73.7730127282064,5.39469748351245,TRUE,1717.17199330916,77.0172792226028,4.34528901921275,TRUE,6595.38420504819,77.3135701841284,4.27455273797189,-0.105987102367163,-0.199422531508484,-0.105975101965272,0.028095238095238,0.028095238095238,-0.134082340462401,-0.227517769603722,-0.13407034006051,0,0,0.549748786297951,0.551535677068366,0.549749824010343,0.541468144245295,0.54054268065756
2,1.82930406339288,1.66853123122266,30,"24Hours",2,100,"systematic",0.484875810789432,0.961666666666667,1,0.2,-0.0605152177708715,3.22234805057896,Inf,0.376802989312126,-0.0999878665651086,-0.138321199898442,TRUE,2.01161795265893,2.37052858022045,-0.637075818022162,TRUE,2.29961088750831,2.32076296589339,-1.57696316976853,TRUE,2.01161608938603,2.37052857971303,-0.637089623943243,TRUE,1.92346155397528,2.67957038500201,0.0468798622350471,TRUE,1.96917066057954,2.55772149006466,0.0452354042712112,-0.0796551645564311,-0.0528218589371546,-0.0796553584621846,-0.0891427217568986,-0.0841446606105213,-0.117988497889764,-0.0911551922704876,-0.117988691795518,-0.127476055090232,-0.122477993943854,-0.138967957272521,-0.313649809476405,-0.138971080932976,0.026842008805944,0.0264311122859037
1,0.0387008665776531,-1.25194645351174,5,"24Hours",3,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.38805796746603,-0.346040276482713,-0.490325990768427,TRUE,-1405.58878965906,6.73270183171662,9.15308625678517,FALSE,NA,NA,NA,TRUE,-949.769416966107,6.73734501759999,9.15528858707371,TRUE,6.07163807581702,4.15939703611015,6.07163807581702,FALSE,NA,NA,NA,-0.855714285714286,NA,-0.855714285714286,0.141983635647199,NA,-1,NA,-1,-0.00230207863851539,NA,0.878278076959978,NA,0.87827830986432,0.876081879595942,NA
2,0.585894016934398,-1.40407502238676,5,"24Hours",3,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.493443688120057,-0.200672749152526,-0.357577511057288,TRUE,3.28290295522609,37.9367271956503,2.45666062636942,TRUE,-2430952.56734361,38.3102623775269,2.85076916379696,TRUE,1.55329436708416,38.4908973150836,-30354.2365219182,TRUE,3.09109994549491,29.8282602975927,3.09104674933779,TRUE,3.24312835767341,27.2499158262909,3.24312835767285,0.120742363457207,-0.843095238095238,-0.0177062064903245,0.113428891949768,0.119330165203355,-0.0361623984475552,-1,-0.174610968395086,-0.0434758699549938,-0.0375745967014071,0.772068366333087,0.796379627399808,-0.148978800822655,0.807543116968201,0.813446602475918
1,0.925259909057332,-1.11627769165226,10,"24Hours",3,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.594496593315253,-0.13960165063349,-0.283887364919204,TRUE,1.50484259206684,37.1391051219123,11.4546242045998,TRUE,0.0302319161445119,38.2425558237407,15.0986450152279,TRUE,1.5046455715635,37.139105101541,11.453633360369,TRUE,6586.74091732239,40.1796474429795,8.9410443268194,TRUE,201030.277075931,40.6987150199438,8.59712689862521,-0.037418664541393,-0.348156882271941,-0.0374479609429119,0.144285714285714,0.144285714285714,-0.181704378827107,-0.492442596557655,-0.181733675228626,0,0,0.878373358003884,0.878383681067365,0.878373347495613,0.878253071106198,0.87819935680956
2,0.356966730926631,-0.539564562795865,10,"24Hours",3,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.439327166523916,-0.254789270748667,-0.411694032653429,TRUE,0.784338838899734,42.9644689691838,-116179.72661129,TRUE,-1.81810465223877,40.1456455725079,2.47362716569495,TRUE,-0.278417133733428,39.9191761055738,2.67641291676816,TRUE,2.81697834110637,33.4065311176579,2.81363393173609,FALSE,NA,NA,NA,-0.156480759259044,-0.703433782974969,-0.412253358638797,0.100491197609569,NA,-0.313385521163806,-0.86033854487973,-0.569158120543559,-0.0564135642951931,NA,-0.148978800822655,0.773293380372972,0.786641592602572,0.794429344044831,NA
1,0.867862583818392,-0.767134202644333,15,"24Hours",3,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.582684709834168,-0.151413534114575,-0.295699248400289,TRUE,1.28984130302974,38.6706316374226,11.0616738280367,TRUE,0.127363276212071,39.3964022629818,15.3919288318011,TRUE,1.28984711042364,38.6706316406279,11.06171866656,TRUE,9358.99906309235,43.7530554076479,7.99983288637179,TRUE,545385.716287087,44.5453705923136,7.63147315244406,-0.0715939588567335,-0.323916438855149,-0.0715929758080377,0.144285714285714,0.144285714285714,-0.215879673142447,-0.468202153140863,-0.215878690093752,0,0,0.878368255717311,0.878383751520332,0.878368256421362,0.878048552076529,0.877899247360437
2,0.550296386181662,-0.563556930864499,15,"24Hours",3,50,"systematic",0.148978800822655,0.843095238095238,1,0.2,-1.7426330196996,1.6814409176094,Inf,0.485225551313471,-0.208890885959112,-0.365795647863874,TRUE,0.28879568696496,41.129552334666,2.71182649690822,TRUE,-0.187807586826738,41.8212279479124,2.37160297213877,TRUE,0.288953232774306,41.1295522874551,2.71180557002503,TRUE,2.65800045524334,37.90045445669,2.62134898211762,TRUE,3.23814605813268,29.8050495673921,3.23814592906107,-0.27139396646489,-0.389909613780605,-0.271355390402802,0.0914071472688599,0.119149575874906,-0.428298728369652,-0.546814375685367,-0.428260152307564,-0.0654976146359021,-0.0377551860298555,0.78874210128834,0.765657298059587,0.788740879138548,0.783244188437565,0.813266008458352
1,1.33063235982698,-0.54661619190231,20,"24Hours",3,50,"systematic",0.121616041765543,0.855714285714286,1,0.2,-1.97721492485989,1.78014108127419,Inf,0.669329173513791,-0.0647690704349525,-0.209054784720667,TRUE,2.31222442478292,189.207170857287,12.7530793156054,TRUE,1.87933028844145,193.733236000396,2066.89108720256,TRUE,2.31221253875925,189.207171089251,12.7527226596291,TRUE,1360.28252008451,216.296400966076,4.17142329104178,TRUE,24485.958750816,216.602070357719,4.06220789866828,0.0541701271498781,0.0118198973545457,0.0541691525533755,0.144285714285714,0.144285714285714,-0.0901155871358359,-0.132465816931168,-0.0901165617323385,0,0,0.878381064845835,0.878383958234457,0.878381063813709,0.863188151129662,0.861464186987931
